City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
307,Likasi,CD,-10.98,26.73,75.6,81,78,3.02,moderate rain
308,Kenora,CA,49.82,-94.43,-9.4,83,40,6.93,scattered clouds
309,Falakata,IN,26.52,89.21,71.26,50,100,0.58,overcast clouds
310,Hovd,MN,48.01,91.64,-7.46,85,0,1.05,clear sky
311,Starobaltachevo,RU,56.0,55.92,10.26,96,86,6.22,overcast clouds
312,Provideniya,RU,64.38,-173.3,14.81,93,100,27.07,overcast clouds
313,Bam,IR,29.11,58.36,53.29,29,0,6.17,clear sky
314,Vanavara,RU,60.34,102.28,-35.0,82,34,4.92,scattered clouds
315,Port Hawkesbury,CA,45.62,-61.35,27.0,85,1,2.24,clear sky
316,Maceio,BR,-9.67,-35.74,80.6,69,40,12.75,scattered clouds
317,Buraydah,SA,26.33,43.98,62.6,51,40,9.17,scattered clouds
318,Sorland,NO,67.67,12.69,44.6,70,75,19.46,broken clouds
319,Biak,ID,-0.91,122.88,79.34,80,100,4.5,light rain
320,Kahului,US,20.89,-156.47,69.01,72,1,10.92,clear sky
321,Tarrafal,CV,15.28,-23.77,73.4,83,90,11.41,overcast clouds
322,Riberalta,BO,-10.98,-66.1,73.4,100,75,11.41,light rain
323,Victoria,HK,22.29,114.16,69.01,80,46,1.01,scattered clouds
324,Krasnovishersk,RU,60.41,57.08,1.31,92,100,5.1,overcast clouds
325,Katherine,AU,-14.47,132.27,78.8,94,75,6.93,broken clouds
326,Taywarah,AF,33.35,64.42,18.28,83,0,3.87,clear sky
327,Karratha,AU,-20.74,116.85,83.89,73,0,13.02,clear sky
328,Srem,PL,52.09,17.02,43.0,72,100,18.01,overcast clouds
329,Vila Franca Do Campo,PT,37.72,-25.43,59.0,62,20,6.93,few clouds
330,Dhidhdhoo,MV,6.88,73.1,82.6,65,0,7.83,clear sky
331,Manicore,BR,-5.81,-61.3,72.39,91,98,4.47,overcast clouds
332,Touros,BR,-5.2,-35.46,75.2,94,75,4.7,broken clouds
333,Scarborough,GB,54.28,-0.4,34.0,100,35,3.36,mist
334,Haines Junction,CA,60.75,-137.51,17.04,92,100,2.24,overcast clouds
335,Kapuskasing,CA,49.42,-82.43,3.2,84,100,6.93,overcast clouds
